,game id,team home,total atq home,pontos ataques home,atq error home,% atq home,% rec home,bloqueio home,server error home,team away,total atq away,pontos ataques away,atq error away,% atq away,% rec away,bloqueio away,server error away,qts sets,vencedor
0,11786,USA,132,57,17,43,41,14,24,France,128,57,22,45,33,6,15,4,False
0,11787,Iran,118,48,20,41,49,7,24,Brazil,114,49,15,43,28,12,16,4,False
0,11788,Argentina,80,45,13,56,37,8,14,Serbia,80,38,17,48,19,7,13,3,True
0,11789,Bulgaria,65,24,12,37,25,3,10,Russia,69,45,5,65,28,7,21,3,False
0,11790,Japan,88,42,12,48,19,2,10,Canada,85,44,5,52,28,6,11,3,False
0,11791,Australia,95,35,13,37,27,3,9,Brazil,80,48,7,60,48,6,7,3,False
0,11792,Iran,100,51,14,51,39,12,13,Slovenia,112,60,17,54,46,6,20,4,False
0,11793,Netherlands,118,51,13,43,21,3,16,USA,111,67,14,60,41,8,22,5,False
0,11794,France,133,65,18,49,26,8,18,Italy,120,64,16,53,49,11,15,5,False
0,11795,Germany,77,34,13,44,23,2,12,Poland,84,46,8,55,22,7,16,3,False
0,11796,Australia,99,34,24,34,35,6,11,Serbia,89,52,11,58,46,11,15,4,False
0,11797,Japan,85,50,12,59,31,6,7,Bulgaria,82,34,12,41,17,8,9,3,True
0,11798,France,70,41,11,59,42,8,13,Iran,77,35,15,45,48,8,11,3,True
0,11799,Canada,68,42,9,62,33,11,9,Netherlands,85,29,17,34,29,3,9,3,True
0,11800,Brazil,125,67,12,54,25,5,16,Italy,124,61,13,49,18,9,15,4,True
0,11801,Slovenia,129,69,17,53,22,11,25,USA,131,61,20,47,32,10,22,5,True
0,11802,Poland,80,44,6,55,24,3,15,Argentina,73,37,6,51,22,1,17,3,True
0,11803,Germany,98,42,15,43,31,7,16,Russia,99,58,12,59,26,9,20,4,False
0,11804,Canada,74,41,4,55,50,10,15,Australia,78,22,14,28,26,1,13,3,True
0,11805,Serbia,110,64,16,58,31,5,18,Netherlands,106,60,14,57,31,11,18,5,True
0,11806,Bulgaria,80,30,19,38,22,2,9,USA,77,41,9,53,36,7,11,3,False
0,11807,Iran,82,27,19,33,18,5,15,Poland,68,31,15,46,30,11,7,3,False
0,11808,Japan,88,38,19,43,35,4,7,Slovenia,80,45,8,56,29,10,9,3,False
0,11809,France,83,41,15,49,28,8,13,Argentina,75,37,12,49,20,7,16,3,True
0,11810,Brazil,89,43,11,48,48,5,16,Germany,79,34,10,43,35,5,17,3,True
0,11811,Russia,105,56,18,53,20,9,17,Italy,83,57,5,69,150,10,2,5,True
0,11812,Australia,67,33,14,49,42,6,10,Netherlands,73,42,11,58,53,8,16,3,False
0,11813,Canada,126,47,17,37,33,19,14,Serbia,141,62,28,44,33,9,27,5,True
0,11814,USA,79,48,7,61,45,10,18,Japan,88,35,12,40,44,3,13,3,True
0,11815,France,122,57,24,47,43,11,20,Poland,109,52,19,48,41,15,25,5,True
0,11816,Iran,111,59,21,53,30,9,19,Argentina,112,65,15,58,24,12,23,4,False
0,11817,Slovenia,65,36,12,55,29,5,9,Bulgaria,74,34,16,46,28,8,17,3,True
0,11818,Italy,125,58,17,46,22,15,22,Germany,131,52,25,40,31,9,21,5,True
0,11819,Brazil,72,36,18,50,18,4,11,Russia,75,40,9,53,19,9,15,3,False
